Agent1,Agent2,Agent1_Score,Agent2_Score,Agent1_Wins,Agent2_Wins,Draws,Agent1_Wins_as_LEFT,Agent1_Wins_as_RIGHT,Agent2_Wins_as_LEFT,Agent2_Wins_as_RIGHT,Agent1_Win_Rate,Agent2_Win_Rate,Agent1_LEFT_Win_Rate,Agent1_RIGHT_Win_Rate,Agent1_Avg_Move_Time,Agent2_Avg_Move_Time,Speed_Advantage_Agent1,Match_Duration
Agent depth1_level1_run2,Agent depth2_level1_run2,0.5,1.5,0,1,1,0,0,1,0,0.000,0.500,0.000,0.000,0.0004,0.0046,0.004,0.36771
Agent depth1_level1_run2,Agent depth3_level1_run1,0.5,1.5,0,1,1,0,0,0,1,0.000,0.500,0.000,0.000,0.0002,0.0406,0.040,5.68692
Agent depth1_level1_run2,Agent Alberto_Best_Agent_D1_L1,1.0,1.0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,0.0005,0.0006,0.000,0.27498
Agent depth1_level1_run2,Agent Alberto_10_Avg_D1_L1,1.0,1.0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,0.0005,0.0005,0.000,0.23012
Agent depth2_level1_run2,Agent depth3_level1_run1,1.0,1.0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,0.0045,0.0289,0.024,7.63393
Agent depth2_level1_run2,Agent Alberto_Best_Agent_D1_L1,1.5,0.5,1,0,1,1,0,0,0,0.500,0.000,1.000,0.000,0.0059,0.0002,-0.006,0.49659
Agent depth2_level1_run2,Agent Alberto_10_Avg_D1_L1,1.5,0.5,1,0,1,1,0,0,0,0.500,0.000,1.000,0.000,0.0046,0.0005,-0.004,0.26534
Agent depth3_level1_run1,Agent Alberto_Best_Agent_D1_L1,1.5,0.5,1,0,1,0,1,0,0,0.500,0.000,0.000,1.000,0.0407,0.0008,-0.040,5.79845
Agent depth3_level1_run1,Agent Alberto_10_Avg_D1_L1,1.5,0.5,1,0,1,0,1,0,0,0.500,0.000,0.000,1.000,0.0414,0.0002,-0.041,5.70145
Agent Alberto_Best_Agent_D1_L1,Agent Alberto_10_Avg_D1_L1,1.0,1.0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,0.0007,0.0004,-0.000,0.27157
