Agent1,Agent2,Agent1_Score,Agent2_Score,Agent1_Wins,Agent2_Wins,Draws,Agent1_Wins_as_LEFT,Agent1_Wins_as_RIGHT,Agent2_Wins_as_LEFT,Agent2_Wins_as_RIGHT,Agent1_Win_Rate,Agent2_Win_Rate,Agent1_LEFT_Win_Rate,Agent1_RIGHT_Win_Rate,Agent1_Avg_Move_Time,Agent2_Avg_Move_Time,Speed_Advantage_Agent1,Match_Duration
Agent depth1_level1_run2,Agent depth2_level1_run2,0.5,1.5,0,1,1,0,0,1,0,0.000,0.500,0.000,0.000,0.001,0.006,0.005,0.39
Agent depth1_level1_run2,Agent depth3_level1_run1,0.5,1.5,0,1,1,0,0,0,1,0.000,0.500,0.000,0.000,0.001,0.044,0.044,5.86
Agent depth1_level1_run2,Agent Alberto_Best_Agent_D1_L1,1.0,1.0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.24
Agent depth1_level1_run2,Agent Alberto_10_Avg_D1_L1,1.0,1.0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.20
Agent depth2_level1_run2,Agent depth3_level1_run1,1.0,1.0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,0.004,0.028,0.024,7.36
Agent depth2_level1_run2,Agent Alberto_Best_Agent_D1_L1,1.5,0.5,1,0,1,1,0,0,0,0.500,0.000,1.000,0.000,0.006,0.000,-0.006,0.49
Agent depth2_level1_run2,Agent Alberto_10_Avg_D1_L1,1.5,0.5,1,0,1,1,0,0,0,0.500,0.000,1.000,0.000,0.005,0.000,-0.004,0.24
Agent depth3_level1_run1,Agent Alberto_Best_Agent_D1_L1,1.5,0.5,1,0,1,0,1,0,0,0.500,0.000,0.000,1.000,0.043,0.000,-0.042,5.57
Agent depth3_level1_run1,Agent Alberto_10_Avg_D1_L1,1.5,0.5,1,0,1,0,1,0,0,0.500,0.000,0.000,1.000,0.041,0.002,-0.038,5.60
Agent Alberto_Best_Agent_D1_L1,Agent Alberto_10_Avg_D1_L1,1.0,1.0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.23
