generation,best_fitness,worst_fitness,mean_fitness,std_fitness,best_weights,improvement,cumulative_improvement,fitness_range
0,0.6375,0.0775,0.20630000000000004,0.142024856979333,"{'avance_balon': 27.689397514077456, 'min_dist_balon_jug': -23.56034567384102, 'max_dist_balon_jug': -46.14321240899205, 'min_dist_balon_op': 0.5186538280291941, 'max_dist_balon_op': 27.12628552679797, 'max_avance_jug': -32.15791106670636, 'min_avance_jug': 8.099164960222872, 'max_avance_op': 6.5379097124536685, 'min_avance_op': -47.95330551204133, 'muy_cerca_borde_jug': 9.741338346484937, 'muy_cerca_borde_op': 2.6228687319529627, 'mas_cerca_balon': -31.358723025549995, 'casilla_neutra': 37.14441433303966, 'muy_cerca_jug': -10.8516727518182, 'muy_lejos_jug': -32.642278307562464, 'muy_cerca_op': -25.60003748464419, 'muy_lejos_op': 30.210755575309662}",,0.0,0.5599999999999999
1,0.585,0.05500000000000001,0.26825,0.1347156728075839,"{'avance_balon': -11.224615525170215, 'min_dist_balon_jug': 40.306515062682564, 'max_dist_balon_jug': 38.962463260950955, 'min_dist_balon_op': 10.272692795921877, 'max_dist_balon_op': 25.115955522211593, 'max_avance_jug': 0.11528976525175438, 'min_avance_jug': -24.20955990803455, 'max_avance_op': -41.03293395365279, 'min_avance_op': 34.04942182655381, 'muy_cerca_borde_jug': 9.704840246089816, 'muy_cerca_borde_op': 26.36806754878006, 'mas_cerca_balon': 24.95604298341732, 'casilla_neutra': -10.057192913687544, 'muy_cerca_jug': 21.20429794321028, 'muy_lejos_jug': -12.88469626953863, 'muy_cerca_op': -23.888914886891634, 'muy_lejos_op': -0.6120636572017233}",-0.05249999999999999,-0.05249999999999999,0.5299999999999999
2,0.7224999999999999,0.075,0.26469999999999994,0.15674074135335714,"{'avance_balon': -22.185218331654223, 'min_dist_balon_jug': 16.975832019518407, 'max_dist_balon_jug': 24.996944962228, 'min_dist_balon_op': 10.272692795921877, 'max_dist_balon_op': -9.5302337796047, 'max_avance_jug': 0.11528976525175438, 'min_avance_jug': -47.86771645279428, 'max_avance_op': -41.03293395365279, 'min_avance_op': 34.04942182655381, 'muy_cerca_borde_jug': -37.049566019497526, 'muy_cerca_borde_op': 26.36806754878006, 'mas_cerca_balon': 24.95604298341732, 'casilla_neutra': -10.057192913687544, 'muy_cerca_jug': 21.20429794321028, 'muy_lejos_jug': 47.299784090671295, 'muy_cerca_op': 50.0, 'muy_lejos_op': -0.6120636572017233}",0.13749999999999996,0.08499999999999996,0.6475
3,0.65,0.07,0.31215000000000004,0.1549887173312948,"{'avance_balon': -11.224615525170215, 'min_dist_balon_jug': 40.306515062682564, 'max_dist_balon_jug': 38.962463260950955, 'min_dist_balon_op': 10.272692795921877, 'max_dist_balon_op': 25.115955522211593, 'max_avance_jug': 0.11528976525175438, 'min_avance_jug': -24.20955990803455, 'max_avance_op': -41.03293395365279, 'min_avance_op': 34.04942182655381, 'muy_cerca_borde_jug': -35.509661927774495, 'muy_cerca_borde_op': 26.36806754878006, 'mas_cerca_balon': 24.95604298341732, 'casilla_neutra': -10.057192913687544, 'muy_cerca_jug': 21.20429794321028, 'muy_lejos_jug': -12.88469626953863, 'muy_cerca_op': -23.7732383570821, 'muy_lejos_op': -46.482729152446}",-0.0724999999999999,0.012500000000000067,0.5800000000000001
4,0.595,0.05,0.3583,0.1406533327013619,"{'avance_balon': -22.185218331654223, 'min_dist_balon_jug': 12.920314169774876, 'max_dist_balon_jug': 24.996944962228, 'min_dist_balon_op': 5.896030586034912, 'max_dist_balon_op': -17.710578892010496, 'max_avance_jug': 0.11528976525175438, 'min_avance_jug': -47.86771645279428, 'max_avance_op': -41.03293395365279, 'min_avance_op': 34.04942182655381, 'muy_cerca_borde_jug': -37.049566019497526, 'muy_cerca_borde_op': 16.078371562282015, 'mas_cerca_balon': 24.95604298341732, 'casilla_neutra': 47.787663230034156, 'muy_cerca_jug': 21.20429794321028, 'muy_lejos_jug': 47.299784090671295, 'muy_cerca_op': 50.0, 'muy_lejos_op': -0.6120636572017233}",-0.05500000000000005,-0.04249999999999998,0.5449999999999999
5,0.6625,0.057499999999999996,0.3797499999999999,0.152729540364659,"{'avance_balon': -22.185218331654223, 'min_dist_balon_jug': 12.920314169774876, 'max_dist_balon_jug': 24.996944962228, 'min_dist_balon_op': 5.896030586034912, 'max_dist_balon_op': -17.710578892010496, 'max_avance_jug': 0.11528976525175438, 'min_avance_jug': -47.86771645279428, 'max_avance_op': -41.03293395365279, 'min_avance_op': 34.04942182655381, 'muy_cerca_borde_jug': -37.049566019497526, 'muy_cerca_borde_op': 16.078371562282015, 'mas_cerca_balon': 24.95604298341732, 'casilla_neutra': 47.787663230034156, 'muy_cerca_jug': 21.20429794321028, 'muy_lejos_jug': 47.299784090671295, 'muy_cerca_op': 50.0, 'muy_lejos_op': -0.6120636572017233}",0.0675,0.025000000000000022,0.605
6,0.6925,0.075,0.39714999999999995,0.13849008087224154,"{'avance_balon': 5.649061927500951, 'min_dist_balon_jug': 40.306515062682564, 'max_dist_balon_jug': 29.392624187884863, 'min_dist_balon_op': -16.099640462819227, 'max_dist_balon_op': 25.115955522211593, 'max_avance_jug': -35.48338839227918, 'min_avance_jug': 36.10861393959389, 'max_avance_op': -40.826816757578484, 'min_avance_op': -13.94656417378225, 'muy_cerca_borde_jug': 9.704840246089816, 'muy_cerca_borde_op': 26.36806754878006, 'mas_cerca_balon': 24.95604298341732, 'casilla_neutra': 23.782229276074005, 'muy_cerca_jug': 25.208621808559407, 'muy_lejos_jug': -12.88469626953863, 'muy_cerca_op': -23.888914886891634, 'muy_lejos_op': 21.118151931016087}",0.030000000000000027,0.05500000000000005,0.6175
7,0.6675,0.07250000000000001,0.38975000000000004,0.15985950863179832,"{'avance_balon': 5.6097960276970085, 'min_dist_balon_jug': 42.355392244524936, 'max_dist_balon_jug': 29.392624187884863, 'min_dist_balon_op': 0.5007091761663478, 'max_dist_balon_op': 25.115955522211593, 'max_avance_jug': -41.03232715693655, 'min_avance_jug': 32.592961597303784, 'max_avance_op': -40.826816757578484, 'min_avance_op': -13.94656417378225, 'muy_cerca_borde_jug': 9.704840246089816, 'muy_cerca_borde_op': 26.36806754878006, 'mas_cerca_balon': 18.29946330171839, 'casilla_neutra': -7.858773903197653, 'muy_cerca_jug': 23.323642120395327, 'muy_lejos_jug': -12.88469626953863, 'muy_cerca_op': -23.888914886891634, 'muy_lejos_op': 21.118151931016087}",-0.025000000000000022,0.030000000000000027,0.595
8,0.6799999999999999,0.04,0.41305,0.14358472237672085,"{'avance_balon': 5.6097960276970085, 'min_dist_balon_jug': 40.306515062682564, 'max_dist_balon_jug': 29.392624187884863, 'min_dist_balon_op': -15.667663862855628, 'max_dist_balon_op': 25.115955522211593, 'max_avance_jug': -35.48338839227918, 'min_avance_jug': 36.10861393959389, 'max_avance_op': -34.63922693795486, 'min_avance_op': -13.94656417378225, 'muy_cerca_borde_jug': 15.303816506340283, 'muy_cerca_borde_op': 26.36806754878006, 'mas_cerca_balon': 32.19370651519924, 'casilla_neutra': 23.782229276074005, 'muy_cerca_jug': 25.208621808559407, 'muy_lejos_jug': -12.88469626953863, 'muy_cerca_op': -31.32516828540463, 'muy_lejos_op': 21.118151931016087}",0.012499999999999956,0.04249999999999998,0.6399999999999999
9,0.6875,0.0425,0.41375000000000006,0.15032236194259324,"{'avance_balon': 5.6097960276970085, 'min_dist_balon_jug': 36.983593385015034, 'max_dist_balon_jug': 29.392624187884863, 'min_dist_balon_op': 0.5007091761663478, 'max_dist_balon_op': 25.115955522211593, 'max_avance_jug': -37.29427825926018, 'min_avance_jug': 32.592961597303784, 'max_avance_op': -34.63922693795486, 'min_avance_op': -13.94656417378225, 'muy_cerca_borde_jug': 9.704840246089816, 'muy_cerca_borde_op': 26.36806754878006, 'mas_cerca_balon': 19.028919271921584, 'casilla_neutra': -7.858773903197653, 'muy_cerca_jug': 23.323642120395327, 'muy_lejos_jug': -12.88469626953863, 'muy_cerca_op': -23.888914886891634, 'muy_lejos_op': 21.118151931016087}",0.007500000000000062,0.050000000000000044,0.645
