Match_ID,Agent1,Agent2,Agent1_Color,Agent2_Color,Winner,Score,Total_Moves,Agent1_Moves,Agent2_Moves,Game_Duration,Agent1_Total_Time,Agent2_Total_Time,Agent1_Avg_Time,Agent2_Avg_Time,Agent1_Max_Time,Agent2_Max_Time,Termination_Reason,Final_Ball_Position
Agent depth1_level2_run2_vs_Agent depth2_level2_run1,Agent depth1_level2_run2,Agent depth2_level2_run1,LEFT,RIGHT,draw,0.0,200,100,100,1.04,0.17,0.87,0.002,0.009,0.016,0.031,max_moves,"(0, 0)"
Agent depth1_level2_run2_vs_Agent depth2_level2_run1,Agent depth1_level2_run2,Agent depth2_level2_run1,RIGHT,LEFT,draw,0.0,200,100,100,0.89,0.10,0.78,0.001,0.008,0.016,0.023,max_moves,"(0, 0)"
Agent depth1_level2_run2_vs_Agent depth3_level2_run1,Agent depth1_level2_run2,Agent depth3_level2_run1,LEFT,RIGHT,draw,0.0,200,70,130,8.53,0.08,8.44,0.001,0.065,0.016,0.619,max_moves,"(0, 0)"
Agent depth1_level2_run2_vs_Agent depth3_level2_run1,Agent depth1_level2_run2,Agent depth3_level2_run1,RIGHT,LEFT,agent2,-1.0,16,5,11,3.60,0.00,3.60,0.000,0.328,0.000,0.616,goal,"(0, 0)"
Agent depth1_level2_run2_vs_Agent AlbertoBestAgent,Agent depth1_level2_run2,Agent AlbertoBestAgent,LEFT,RIGHT,draw,0.0,200,100,100,0.36,0.14,0.18,0.001,0.002,0.016,0.018,max_moves,"(0, 0)"
Agent depth1_level2_run2_vs_Agent AlbertoBestAgent,Agent depth1_level2_run2,Agent AlbertoBestAgent,RIGHT,LEFT,draw,0.0,200,100,100,0.17,0.10,0.05,0.001,0.001,0.016,0.006,max_moves,"(0, 0)"
Agent depth1_level2_run2_vs_Agent AlbertoAvg,Agent depth1_level2_run2,Agent AlbertoAvg,LEFT,RIGHT,draw,0.0,200,100,100,0.34,0.14,0.15,0.001,0.002,0.017,0.016,max_moves,"(0, 0)"
Agent depth1_level2_run2_vs_Agent AlbertoAvg,Agent depth1_level2_run2,Agent AlbertoAvg,RIGHT,LEFT,draw,0.0,200,101,99,0.25,0.11,0.12,0.001,0.001,0.016,0.016,max_moves,"(0, 0)"
Agent depth2_level2_run1_vs_Agent depth3_level2_run1,Agent depth2_level2_run1,Agent depth3_level2_run1,LEFT,RIGHT,draw,0.0,200,68,132,10.59,1.03,9.53,0.015,0.072,0.032,0.404,max_moves,"(0, 0)"
Agent depth2_level2_run1_vs_Agent depth3_level2_run1,Agent depth2_level2_run1,Agent depth3_level2_run1,RIGHT,LEFT,agent2,-1.0,65,30,35,10.28,0.60,9.69,0.020,0.277,0.050,0.724,goal,"(0, 0)"
Agent depth2_level2_run1_vs_Agent AlbertoBestAgent,Agent depth2_level2_run1,Agent AlbertoBestAgent,LEFT,RIGHT,draw,0.0,200,100,100,2.06,1.90,0.14,0.019,0.001,0.037,0.016,max_moves,"(0, 0)"
Agent depth2_level2_run1_vs_Agent AlbertoBestAgent,Agent depth2_level2_run1,Agent AlbertoBestAgent,RIGHT,LEFT,draw,0.0,200,100,100,0.81,0.69,0.11,0.007,0.001,0.036,0.016,max_moves,"(0, 0)"
Agent depth2_level2_run1_vs_Agent AlbertoAvg,Agent depth2_level2_run1,Agent AlbertoAvg,LEFT,RIGHT,draw,0.0,200,100,100,2.04,1.78,0.22,0.018,0.002,0.034,0.016,max_moves,"(0, 0)"
Agent depth2_level2_run1_vs_Agent AlbertoAvg,Agent depth2_level2_run1,Agent AlbertoAvg,RIGHT,LEFT,draw,0.0,200,100,100,0.55,0.50,0.04,0.005,0.000,0.032,0.016,max_moves,"(0, 0)"
Agent depth3_level2_run1_vs_Agent AlbertoBestAgent,Agent depth3_level2_run1,Agent AlbertoBestAgent,LEFT,RIGHT,agent1,1.0,16,9,7,2.38,2.36,0.02,0.262,0.002,0.526,0.014,goal,"(0, 0)"
Agent depth3_level2_run1_vs_Agent AlbertoBestAgent,Agent depth3_level2_run1,Agent AlbertoBestAgent,RIGHT,LEFT,draw,0.0,200,100,100,22.79,22.68,0.10,0.227,0.001,0.486,0.016,max_moves,"(0, 0)"
Agent depth3_level2_run1_vs_Agent AlbertoAvg,Agent depth3_level2_run1,Agent AlbertoAvg,LEFT,RIGHT,agent1,1.0,54,30,24,6.98,6.96,0.02,0.232,0.001,0.593,0.010,goal,"(0, 0)"
Agent depth3_level2_run1_vs_Agent AlbertoAvg,Agent depth3_level2_run1,Agent AlbertoAvg,RIGHT,LEFT,draw,0.0,200,100,100,23.78,23.71,0.07,0.237,0.001,0.559,0.016,max_moves,"(0, 0)"
Agent AlbertoBestAgent_vs_Agent AlbertoAvg,Agent AlbertoBestAgent,Agent AlbertoAvg,LEFT,RIGHT,draw,0.0,200,100,100,0.29,0.07,0.18,0.001,0.002,0.017,0.016,max_moves,"(0, 0)"
Agent AlbertoBestAgent_vs_Agent AlbertoAvg,Agent AlbertoBestAgent,Agent AlbertoAvg,RIGHT,LEFT,draw,0.0,200,100,100,0.28,0.16,0.09,0.002,0.001,0.016,0.016,max_moves,"(0, 0)"
