generation,best_fitness,worst_fitness,mean_fitness,std_fitness,best_weights,improvement,cumulative_improvement,fitness_range
0,0.23500000000000001,0.09,0.10639000000000001,0.015803255993623595,"{'avance_balon': 6.382608216910299, 'min_dist_balon_jug': -45.41950933134047, 'max_dist_balon_jug': -26.21436195149045, 'min_dist_balon_op': 22.148581042067974, 'max_dist_balon_op': -42.97185423848251, 'max_avance_jug': -28.738760942956777, 'min_avance_jug': -39.37273963087763, 'max_avance_op': 22.83719954016847, 'min_avance_op': 12.087829322713205, 'muy_cerca_borde_jug': -2.3319612530943914, 'muy_cerca_borde_op': -8.80465621189024, 'mas_cerca_balon': -15.48619986816334, 'casilla_neutra': 45.09708948415391, 'muy_cerca_jug': 44.18403154081996, 'muy_lejos_jug': 10.145193696474905, 'muy_cerca_op': 45.24000592254316, 'muy_lejos_op': -8.223687901891097}",,0.0,0.14500000000000002
1,0.255,0.09,0.10875250000000003,0.01979393830822962,"{'avance_balon': 21.343522539811318, 'min_dist_balon_jug': 25.72961995718542, 'max_dist_balon_jug': -10.835737596943758, 'min_dist_balon_op': -40.163618549897876, 'max_dist_balon_op': -9.98726101228683, 'max_avance_jug': -22.224951806136584, 'min_avance_jug': 32.101653276195506, 'max_avance_op': 4.6483411620934305, 'min_avance_op': 36.084983072839194, 'muy_cerca_borde_jug': 27.882398905453755, 'muy_cerca_borde_op': 35.80844404389481, 'mas_cerca_balon': 46.52839052730195, 'casilla_neutra': -32.81432634331833, 'muy_cerca_jug': 11.500562394295109, 'muy_lejos_jug': 25.877456625085372, 'muy_cerca_op': -21.069562613776938, 'muy_lejos_op': -19.24976225099727}",0.01999999999999999,0.01999999999999999,0.165
2,0.3025,0.09,0.11098000000000002,0.024168980119152732,"{'avance_balon': -7.255763317496033, 'min_dist_balon_jug': 39.814391169125614, 'max_dist_balon_jug': -4.420278562415628, 'min_dist_balon_op': 43.61867387758366, 'max_dist_balon_op': 8.39886837084709, 'max_avance_jug': 40.631776324705044, 'min_avance_jug': -34.433806231136664, 'max_avance_op': 0.7689002413944195, 'min_avance_op': -6.748277511632416, 'muy_cerca_borde_jug': 27.106665630913454, 'muy_cerca_borde_op': -33.93832741772094, 'mas_cerca_balon': -13.066450464868737, 'casilla_neutra': 13.496137047970393, 'muy_cerca_jug': 49.47269150983385, 'muy_lejos_jug': -49.464465528460366, 'muy_cerca_op': -21.46160893562572, 'muy_lejos_op': 25.44131270400405}",0.04749999999999999,0.06749999999999998,0.2125
3,0.27749999999999997,0.09,0.11215250000000002,0.025491135591613024,"{'avance_balon': -7.255763317496033, 'min_dist_balon_jug': 39.814391169125614, 'max_dist_balon_jug': -4.420278562415628, 'min_dist_balon_op': 43.61867387758366, 'max_dist_balon_op': 8.39886837084709, 'max_avance_jug': 40.631776324705044, 'min_avance_jug': -34.433806231136664, 'max_avance_op': 0.7689002413944195, 'min_avance_op': -6.748277511632416, 'muy_cerca_borde_jug': 27.106665630913454, 'muy_cerca_borde_op': -33.93832741772094, 'mas_cerca_balon': -13.066450464868737, 'casilla_neutra': 13.496137047970393, 'muy_cerca_jug': 49.47269150983385, 'muy_lejos_jug': -49.464465528460366, 'muy_cerca_op': -21.46160893562572, 'muy_lejos_op': 25.44131270400405}",-0.025000000000000022,0.042499999999999954,0.18749999999999997
4,0.3025,0.0825,0.112365,0.02580250520782817,"{'avance_balon': -1.5474110272034949, 'min_dist_balon_jug': 15.996311370664316, 'max_dist_balon_jug': 1.9778667250091573, 'min_dist_balon_op': 50.0, 'max_dist_balon_op': -13.820765785834901, 'max_avance_jug': 36.13944898740186, 'min_avance_jug': 23.63345151435324, 'max_avance_op': 0.7689002413944195, 'min_avance_op': 8.337658367676958, 'muy_cerca_borde_jug': 42.345608396664346, 'muy_cerca_borde_op': 14.61747190895207, 'mas_cerca_balon': -13.066450464868737, 'casilla_neutra': -28.887943268491313, 'muy_cerca_jug': 23.142142219990475, 'muy_lejos_jug': -37.74457844902489, 'muy_cerca_op': 35.10502796105835, 'muy_lejos_op': 17.3585290475677}",0.025000000000000022,0.06749999999999998,0.21999999999999997
5,0.3025,0.08,0.11314,0.026794643121340507,"{'avance_balon': -0.8229807408034446, 'min_dist_balon_jug': 6.819041694124628, 'max_dist_balon_jug': 49.23940909841197, 'min_dist_balon_op': -48.28716743168309, 'max_dist_balon_op': 34.869499903077724, 'max_avance_jug': 34.703050650386295, 'min_avance_jug': -3.130327196311791, 'max_avance_op': 0.3689235748271855, 'min_avance_op': -46.187918339147416, 'muy_cerca_borde_jug': 31.019033992363504, 'muy_cerca_borde_op': -9.12706807321888, 'mas_cerca_balon': 36.922687517402494, 'casilla_neutra': -40.29413914655379, 'muy_cerca_jug': -0.8472937071974658, 'muy_lejos_jug': 10.465683778779699, 'muy_cerca_op': -45.276044845222785, 'muy_lejos_op': -28.981683951787808}",0.0,0.06749999999999998,0.22249999999999998
6,0.37,0.0875,0.11360750000000001,0.029750919208488328,"{'avance_balon': -1.803327223225068, 'min_dist_balon_jug': 3.5137403777481246, 'max_dist_balon_jug': -10.866148455986782, 'min_dist_balon_op': 3.221977107176535, 'max_dist_balon_op': -31.28953649428793, 'max_avance_jug': -50.0, 'min_avance_jug': 36.89787228151168, 'max_avance_op': 5.0071586070308385, 'min_avance_op': 12.087829322713205, 'muy_cerca_borde_jug': 47.62127229593868, 'muy_cerca_borde_op': -46.05369199563511, 'mas_cerca_balon': 15.2550316222477, 'casilla_neutra': -5.361002222989228, 'muy_cerca_jug': -45.64311971722117, 'muy_lejos_jug': 21.545192064006898, 'muy_cerca_op': 43.94173007665475, 'muy_lejos_op': 27.679140365263805}",0.0675,0.13499999999999998,0.2825
7,0.3025,0.0875,0.11542750000000003,0.029445262670759115,"{'avance_balon': -1.803327223225068, 'min_dist_balon_jug': 3.5137403777481246, 'max_dist_balon_jug': -10.866148455986782, 'min_dist_balon_op': 3.221977107176535, 'max_dist_balon_op': -31.28953649428793, 'max_avance_jug': -50.0, 'min_avance_jug': 36.89787228151168, 'max_avance_op': 5.0071586070308385, 'min_avance_op': 12.087829322713205, 'muy_cerca_borde_jug': 47.62127229593868, 'muy_cerca_borde_op': -46.05369199563511, 'mas_cerca_balon': 15.2550316222477, 'casilla_neutra': -5.361002222989228, 'muy_cerca_jug': -45.64311971722117, 'muy_lejos_jug': 21.545192064006898, 'muy_cerca_op': 43.94173007665475, 'muy_lejos_op': 27.679140365263805}",-0.0675,0.06749999999999998,0.215
8,0.3675,0.085,0.11859,0.035239883654745514,"{'avance_balon': 5.4857685024536815, 'min_dist_balon_jug': -38.576749493970624, 'max_dist_balon_jug': -12.614580286081896, 'min_dist_balon_op': 24.112421208229915, 'max_dist_balon_op': -30.741197585750612, 'max_avance_jug': -29.45627389990405, 'min_avance_jug': -39.37273963087763, 'max_avance_op': 19.910934552474643, 'min_avance_op': 12.087829322713205, 'muy_cerca_borde_jug': 46.42257436573807, 'muy_cerca_borde_op': -6.767444787886871, 'mas_cerca_balon': -15.48619986816334, 'casilla_neutra': 45.09708948415391, 'muy_cerca_jug': 44.18403154081996, 'muy_lejos_jug': -45.22627414706333, 'muy_cerca_op': 35.33912798942441, 'muy_lejos_op': -8.223687901891097}",0.065,0.13249999999999998,0.2825
9,0.325,0.085,0.11984250000000002,0.033781932208652596,"{'avance_balon': -0.8229807408034446, 'min_dist_balon_jug': 0.8789636575670574, 'max_dist_balon_jug': 48.656069724162705, 'min_dist_balon_op': -48.28716743168309, 'max_dist_balon_op': 34.869499903077724, 'max_avance_jug': -47.75135531299446, 'min_avance_jug': 2.8593271877542605, 'max_avance_op': 0.3689235748271855, 'min_avance_op': -46.187918339147416, 'muy_cerca_borde_jug': -27.810632807058276, 'muy_cerca_borde_op': 1.1805056122829214, 'mas_cerca_balon': 36.922687517402494, 'casilla_neutra': 39.35627027960928, 'muy_cerca_jug': 3.661241486616376, 'muy_lejos_jug': -35.885378596053336, 'muy_cerca_op': -15.48587983744775, 'muy_lejos_op': 40.34732207681695}",-0.04249999999999998,0.09,0.24
