Match_ID,Agent1,Agent2,Agent1_Color,Agent2_Color,Winner,Score,Total_Moves,Agent1_Moves,Agent2_Moves,Game_Duration,Agent1_Total_Time,Agent2_Total_Time,Agent1_Avg_Time,Agent2_Avg_Time,Agent1_Max_Time,Agent2_Max_Time,Termination_Reason,Final_Ball_Position
Agent depth1_level3_run1_vs_Agent depth2_level3_run1,Agent depth1_level3_run1,Agent depth2_level3_run1,LEFT,RIGHT,draw,0.0,200,100,100,44.88,1.66083,43.11402,0.01661,0.43114,0.03224,0.53448,max_moves,"(0, 0)"
Agent depth1_level3_run1_vs_Agent depth2_level3_run1,Agent depth1_level3_run1,Agent depth2_level3_run1,RIGHT,LEFT,draw,0.0,200,96,104,17.40,0.93571,16.41862,0.00975,0.15787,0.03181,0.40642,max_moves,"(0, 0)"
Agent depth1_level3_run1_vs_Agent depth3_level3_run2,Agent depth1_level3_run1,Agent depth3_level3_run2,LEFT,RIGHT,draw,0.0,200,93,107,248.12,0.66702,247.28287,0.00717,2.31105,0.02394,13.67004,max_moves,"(0, 0)"
Agent depth1_level3_run1_vs_Agent depth3_level3_run2,Agent depth1_level3_run1,Agent depth3_level3_run2,RIGHT,LEFT,agent2,-1.0,28,17,11,73.06,0.15260,72.88871,0.00898,6.62625,0.02548,19.11537,goal,"(0, 0)"
Agent depth1_level3_run1_vs_Agent AlbertoBestAgentL3,Agent depth1_level3_run1,Agent AlbertoBestAgentL3,LEFT,RIGHT,draw,0.0,200,160,40,1.62,1.11435,0.42799,0.00696,0.01070,0.02353,0.02212,max_moves,"(0, 0)"
Agent depth1_level3_run1_vs_Agent AlbertoBestAgentL3,Agent depth1_level3_run1,Agent AlbertoBestAgentL3,RIGHT,LEFT,draw,0.0,200,100,100,1.95,1.34587,0.48155,0.01346,0.00482,0.02788,0.02082,max_moves,"(0, 0)"
Agent depth1_level3_run1_vs_Agent AlbertoAvgL3,Agent depth1_level3_run1,Agent AlbertoAvgL3,LEFT,RIGHT,draw,0.0,200,160,40,1.54,1.07699,0.36270,0.00673,0.00907,0.02479,0.01620,max_moves,"(0, 0)"
Agent depth1_level3_run1_vs_Agent AlbertoAvgL3,Agent depth1_level3_run1,Agent AlbertoAvgL3,RIGHT,LEFT,draw,0.0,200,100,100,1.98,1.49003,0.41768,0.01490,0.00418,0.02792,0.01970,max_moves,"(0, 0)"
Agent depth2_level3_run1_vs_Agent depth3_level3_run2,Agent depth2_level3_run1,Agent depth3_level3_run2,LEFT,RIGHT,draw,0.0,200,106,94,451.35,9.47069,441.78239,0.08935,4.69981,0.41536,29.57315,max_moves,"(0, 0)"
Agent depth2_level3_run1_vs_Agent depth3_level3_run2,Agent depth2_level3_run1,Agent depth3_level3_run2,RIGHT,LEFT,agent1,1.0,26,10,16,107.81,3.13779,104.67011,0.31378,6.54188,0.60512,19.14937,goal,"(0, 0)"
Agent depth2_level3_run1_vs_Agent AlbertoBestAgentL3,Agent depth2_level3_run1,Agent AlbertoBestAgentL3,LEFT,RIGHT,draw,0.0,45,27,18,6.22,5.93254,0.26902,0.21972,0.01495,0.78025,0.02473,no_moves,"(0, 0)"
Agent depth2_level3_run1_vs_Agent AlbertoBestAgentL3,Agent depth2_level3_run1,Agent AlbertoBestAgentL3,RIGHT,LEFT,draw,0.0,200,98,102,8.22,7.66083,0.45578,0.07817,0.00447,0.80229,0.02234,max_moves,"(0, 0)"
Agent depth2_level3_run1_vs_Agent AlbertoAvgL3,Agent depth2_level3_run1,Agent AlbertoAvgL3,LEFT,RIGHT,agent1,1.0,45,27,18,6.13,5.87033,0.24434,0.21742,0.01357,0.79467,0.02172,goal,"(0, 0)"
Agent depth2_level3_run1_vs_Agent AlbertoAvgL3,Agent depth2_level3_run1,Agent AlbertoAvgL3,RIGHT,LEFT,draw,0.0,200,98,102,8.12,7.54483,0.52201,0.07699,0.00512,0.74282,0.01762,max_moves,"(0, 0)"
Agent depth3_level3_run2_vs_Agent AlbertoBestAgentL3,Agent depth3_level3_run2,Agent AlbertoBestAgentL3,LEFT,RIGHT,agent1,1.0,56,16,40,178.54,178.21617,0.31576,11.13851,0.00789,37.78599,0.03157,goal,"(0, 0)"
Agent depth3_level3_run2_vs_Agent AlbertoBestAgentL3,Agent depth3_level3_run2,Agent AlbertoBestAgentL3,RIGHT,LEFT,draw,0.0,200,98,102,333.06,332.49000,0.52656,3.39276,0.00516,25.29822,0.03191,max_moves,"(0, 0)"
Agent depth3_level3_run2_vs_Agent AlbertoAvgL3,Agent depth3_level3_run2,Agent AlbertoAvgL3,LEFT,RIGHT,agent1,1.0,141,60,81,265.64,264.91536,0.65425,4.41526,0.00808,27.74501,0.02392,goal,"(0, 0)"
Agent depth3_level3_run2_vs_Agent AlbertoAvgL3,Agent depth3_level3_run2,Agent AlbertoAvgL3,RIGHT,LEFT,draw,0.0,200,98,102,379.59,378.99270,0.50067,3.86727,0.00491,26.32676,0.02030,max_moves,"(0, 0)"
Agent AlbertoBestAgentL3_vs_Agent AlbertoAvgL3,Agent AlbertoBestAgentL3,Agent AlbertoAvgL3,LEFT,RIGHT,draw,0.0,200,102,98,1.57,0.48577,1.01329,0.00476,0.01034,0.02846,0.02192,max_moves,"(0, 0)"
Agent AlbertoBestAgentL3_vs_Agent AlbertoAvgL3,Agent AlbertoBestAgentL3,Agent AlbertoAvgL3,RIGHT,LEFT,draw,0.0,200,98,102,1.63,1.15239,0.38676,0.01176,0.00379,0.02215,0.02487,max_moves,"(0, 0)"
